command_idx,samples,cmd_vx,cmd_vy,cmd_wz,reset_count,mean_actual_vx,mean_err_vx,mae_vx,rmse_vx,first_actual_vx,steady_mean_actual_vx,steady_mae_vx,mean_actual_vy,mean_err_vy,mae_vy,rmse_vy,first_actual_vy,steady_mean_actual_vy,steady_mae_vy,mean_actual_wz,mean_err_wz,mae_wz,rmse_wz,first_actual_wz,steady_mean_actual_wz,steady_mae_wz
0,10,1.0,0.1,0.66,0,0.8358735101560837,-0.16412648984391626,0.16412648984391626,0.2443045852246556,0.31364015408701734,0.8938994386082023,0.10610056139179777,0.0835171699544319,-0.01648283004556812,0.05541636781940219,0.07086366430360756,-0.04577846165219011,0.09788335124405655,0.04537613517131464,0.2254056437406689,-0.4345943562593312,0.4345943562593312,0.43963943854912235,0.0943267927505076,0.23996996051735348,0.42003003948264656
1,10,0.5,0.1,0.66,0,0.4359499762528182,-0.06405002374718176,0.06405002374718176,0.0895908721872342,0.2607025220995458,0.4554219156031818,0.04457808439681815,0.044858085961494626,-0.05514191403850538,0.055989247722180745,0.0730819778804666,-0.03533096585008296,0.053767980607225464,0.04717350126352495,0.23381829098798335,-0.4261817090120167,0.4261817090120167,0.4280037503766322,0.1375544206239283,0.24451427658398947,0.4154857234160106
2,10,1.0,0.1,0.33,0,0.8548188516438394,-0.14518114835616075,0.14518114835616075,0.23972110474007954,0.30720966481589884,0.9156643168469439,0.08433568315305623,0.07712363147034244,-0.022876368529657555,0.05732404002010357,0.07201631606364442,-0.03829865962281223,0.08994833048069296,0.04832686006424706,0.11355266408063472,-0.21644733591936532,0.21644733591936532,0.22597326820274513,-0.008411581628024578,0.12710424693715242,0.2028957530628476
3,10,0.5,0.1,0.33,0,0.46660709841633635,-0.03339290158366365,0.036632475071041316,0.0747027614827679,0.2711054219688937,0.48832950691049665,0.01527001918658965,0.046753486597354565,-0.05324651340264545,0.054402948534301776,0.07141524123643497,-0.02726680367226846,0.05497796329397934,0.04630696463008326,0.12343174056150019,-0.20656825943849982,0.20656825943849982,0.20829387469925092,0.07923868903890252,0.1283420796195666,0.20165792038043343
4,10,1.0,0.1,0.0,0,0.875961688889816,-0.12403831111018397,0.12562928978710852,0.23598189226561042,0.30148471845527713,0.9397924633825424,0.06197529070292916,0.065560674207825,-0.03443932579217499,0.057820222566538196,0.07085696478050006,-0.03153489708102863,0.07634907101769765,0.04962970317603924,-0.0025470250751823188,-0.0025470250751823188,0.04387854575179517,0.054504522224667715,-0.09154498716816306,0.007341637379593319,0.03858227448330985
5,10,0.5,0.1,0.0,0,0.4902939237352667,-0.009706076264733288,0.036489289566015146,0.07248671108612485,0.27734541547814756,0.5139548690971688,0.015804256793144338,0.050115629352628165,-0.04988437064737184,0.054113583153919585,0.06985023512389607,-0.021602469175646507,0.05808430696688091,0.046614818040394385,0.0036693199072033167,0.0036693199072033167,0.024253281159326436,0.03408389030197969,0.002817717380821705,0.003763942410134607,0.026635010468049183
6,10,1.0,0.0,0.66,0,0.8404829780350079,-0.159517021964992,0.159517021964992,0.24217023726524725,0.314610073859184,0.8989133007212106,0.10108669927878931,0.026997607881109997,0.026997607881109997,0.06427451654436997,0.07035865901443535,-0.07206422398740228,0.03800447808872247,0.06340899349514417,0.24097173050977289,-0.41902826949022715,0.41902826949022715,0.4275671040308736,0.06762204924598336,0.2602328062057495,0.3997671937942505
7,10,1.0,0.0,0.33,0,0.8634855063067193,-0.13651449369328075,0.13651449369328075,0.2381864186626229,0.3048373243280046,0.9255575265265765,0.07444247347342353,0.017450556623721466,0.017450556623721466,0.05787987708918986,0.06539533906456324,-0.05269149214874123,0.025244117598439544,0.058456364304795255,0.1208990438375622,-0.20910095616243782,0.20910095616243782,0.2192912548772768,0.02462516399100423,0.13159614159829086,0.19840385840170915
