command_idx,sample_idx,time_s,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,err_vx,err_vy,err_wz,start_x,start_y,start_yaw,end_x,end_y,end_yaw,reset,reset_reason,global_command_idx
0,0,0.5,1.0,0.1,0.66,0.31364015408701734,-0.04577846165219011,0.0943267927505076,-0.6863598459129827,-0.1457784616521901,-0.5656732072494924,0.0010071510914713144,-0.00011416047345846891,0.0015373311471194029,0.15786223113536835,-0.022762279957532883,0.0487007275223732,False,,0
0,1,1.0,1.0,0.1,0.66,0.769210379146719,0.12946006250646927,0.23215173184871674,-0.23078962085328103,0.029460062506469264,-0.4278482681512833,0.15786223113536835,-0.022762279957532883,0.0487007275223732,0.5388602614402771,0.06061415374279022,0.16477659344673157,False,,0
0,2,1.5,1.0,0.1,0.66,0.8996125674862305,-0.017110416618734747,0.25496917963027954,-0.10038743251376947,-0.11711041661873475,-0.4050308203697205,0.5388602614402771,0.06061415374279022,0.16477659344673157,0.9839772582054138,0.1259574294090271,0.29226118326187134,False,,0
0,3,2.0,1.0,0.1,0.66,0.9001188046300629,0.07831577849214114,0.13144207000732422,-0.09988119536993711,-0.02168422150785887,-0.5285579299926758,0.9839772582054138,0.1259574294090271,0.29226118326187134,1.4036697149276733,0.2931251525878906,0.35798221826553345,False,,0
0,4,2.5,1.0,0.1,0.66,0.8612176245233891,0.1569772887333935,0.2608833312988281,-0.13878237547661088,0.0569772887333935,-0.3991166687011719,1.4036697149276733,0.2931251525878906,0.35798221826553345,1.7794791460037231,0.5175169706344604,0.4884238839149475,False,,0
0,5,3.0,1.0,0.1,0.66,0.9399806593141227,0.10476505849871875,0.29002952575683594,-0.06001934068587733,0.004765058498718749,-0.3699704742431641,1.7794791460037231,0.5175169706344604,0.4884238839149475,2.169935464859009,0.7843103408813477,0.6334386467933655,False,,0
0,6,3.5,1.0,0.1,0.66,0.9396668003189234,0.12239770443094072,0.2995232343673706,-0.060333199681076644,0.022397704430940718,-0.3604767656326294,2.169935464859009,0.7843103408813477,0.6334386467933655,2.512394905090332,1.1117401123046875,0.7832002639770508,False,,0
0,7,4.0,1.0,0.1,0.66,0.9009932760042603,0.04300866603841008,0.16798639297485352,-0.09900672399573973,-0.056991333961589924,-0.4920136070251465,2.512394905090332,1.1117401123046875,0.7832002639770508,2.8164710998535156,1.444827675819397,0.8671934604644775,False,,0
0,8,4.5,1.0,0.1,0.66,0.9518268830449218,0.08206844441552213,0.24789965152740479,-0.0481731169550782,-0.01793155558447787,-0.41210034847259525,2.8164710998535156,1.444827675819397,0.8671934604644775,3.093083143234253,1.834267258644104,0.9911432862281799,False,,0
0,9,5.0,1.0,0.1,0.66,0.8824679530051904,0.18106757469964813,0.27484452724456787,-0.11753204699480957,0.08106757469964812,-0.38515547275543216,3.093083143234253,1.834267258644104,0.9911432862281799,3.259016513824463,2.2530152797698975,1.1285655498504639,False,,0
1,0,0.5,0.5,0.1,0.66,0.2607025220995458,-0.03533096585008296,0.1375544206239283,-0.2392974779004542,-0.13533096585008297,-0.5224455793760717,0.0010071510914713144,-0.00011416047345846891,0.0015373311471194029,0.1313854157924652,-0.017579229548573494,0.07031454145908356,False,,1
1,1,1.0,0.5,0.1,0.66,0.43981417445286536,0.07702730533027308,0.23003414273262024,-0.06018582554713464,-0.02297269466972693,-0.4299658572673798,0.1313854157924652,-0.017579229548573494,0.07031454145908356,0.3480432629585266,0.03628918156027794,0.18533161282539368,False,,1
1,2,1.5,0.5,0.1,0.66,0.45927002956980933,-0.023216866522285183,0.24680668115615845,-0.040729970430190665,-0.1232168665222852,-0.4131933188438416,0.3480432629585266,0.03628918156027794,0.18533161282539368,0.5758849382400513,0.06719495356082916,0.3087349534034729,False,,1
1,3,2.0,0.5,0.1,0.66,0.47435745236090854,0.046263758140331124,0.25491654872894287,-0.025642547639091462,-0.05373624185966888,-0.40508345127105716,0.5758849382400513,0.06719495356082916,0.3087349534034729,0.7948208451271057,0.16130074858665466,0.43619322776794434,False,,1
1,4,2.5,0.5,0.1,0.66,0.42901071290658443,0.10423666841837687,0.2468017339706421,-0.07098928709341557,0.00423666841837686,-0.41319826602935794,0.7948208451271057,0.16130074858665466,0.43619322776794434,0.967221736907959,0.29916590452194214,0.5595940947532654,False,,1
