command_idx,command,time_s,cmd_vx,cmd_vy,cmd_wz,ideal_x_m,ideal_y_m,ideal_yaw_rad,actual_x_m,actual_y_m,actual_yaw_rad,error_x_m,error_y_m,error_yaw_rad,error_yaw_deg
0,"(1.0, 0.1, 0.66)",5.0,1.0,0.1,0.66,-0.5401419259608108,2.987432121961424,3.3000000000000003,3.261469317467764,2.248118140437359,1.1270282187033445,3.801611243428575,-0.7393139815240652,-2.172971781296656,-124.50211206932293
1,"(0.5, 0.1, 0.66)",5.0,0.5,0.1,0.66,-0.42063761221592544,1.4817656296062236,3.3000000000000003,1.6445166872687085,1.2097593365017971,1.1690914549399167,2.065154299484634,-0.2720062931044265,-2.1309085450600835,-122.09206616030559
2,"(1.0, 0.1, 0.33)",5.0,1.0,0.1,0.33,2.6937967865855925,3.572143611067048,1.6500000000000001,4.032835975877613,1.2792081379896647,0.5677633204031736,1.3390391892920204,-2.2929354730773834,-1.0822366795968266,-62.007594175150096
3,"(0.5, 0.1, 0.33)",5.0,0.5,0.1,0.33,1.183395228322079,1.9371119613598755,1.6500000000000001,2.1274258802521273,0.8726124618871167,0.617158702807501,0.9440306519300483,-1.0644994994727588,-1.0328412971924992,-59.17744723594736
4,"(1.0, 0.1, 0.00)",5.0,1.0,0.1,0.0,5.0,0.5,0.0,4.391853180839108,0.1327372457645705,-0.012735125375911593,-0.6081468191608916,-0.36726275423542953,-0.012735125375911593,-0.7296689356096903
5,"(0.5, 0.1, 0.00)",5.0,0.5,0.1,0.0,2.5,0.5,0.0,2.447380694600348,0.29354765785002884,0.018346599536016583,-0.052619305399652205,-0.20645234214997116,0.018346599536016583,1.0511827218304246
6,"(1.0, 0.0, 0.66)",5.0,1.0,0.0,0.66,-0.23900862748977067,3.011332984710401,3.3000000000000003,3.338455836608435,2.083181543328551,1.2048586525488645,3.5774644640982056,-0.9281514413818499,-2.095141347451136,-120.04275669230248
7,"(1.0, 0.0, 0.33)",5.0,1.0,0.0,0.33,3.0208031165270266,3.2700632994143457,1.6500000000000001,4.098098909974886,1.130055964775956,0.604495219187811,1.0772957934478593,-2.1400073346383897,-1.0455047808121891,-59.90301140128865
