window,start_step,end_step,duration_s,mppi_replan_every_steps,mppi_replan_dt_s,fdm_command_timestep_s,observed_command_changes,observed_median_command_change_s,observed_min_command_change_s,mean_cmd_vx,mean_cmd_vy,mean_cmd_wz,mean_abs_cmd_wz,actual_x_m,actual_y_m,actual_yaw_deg,ideal_lab_x_m,ideal_lab_y_m,ideal_lab_yaw_deg,err_lab_x_m,err_lab_y_m,err_lab_yaw_deg,ideal_fdm_dt_x_m,ideal_fdm_dt_y_m,ideal_fdm_dt_yaw_deg,err_fdm_dt_x_m,err_fdm_dt_y_m,err_fdm_dt_yaw_deg
A target-start,200,450,5.0,8,0.16,0.5,249,0.02,0.02,0.32439220251888035,0.056527717414166546,0.2553646362600848,0.36377516597043724,1.8488107074883746,-0.17798045073906965,16.772547632039466,1.3611610482666805,0.7625682488745676,73.15657947298142,0.4876496592216941,-0.9405486996136373,-56.38403184094196,1.7646674214050706,0.18860058978463964,46.56487037529235,0.08414328608330401,-0.3665810405237093,-29.792322743252882
B mid-turn,650,900,5.0,8,0.16,0.5,249,0.02,0.02,0.32251988393242936,-0.05644649589271285,-0.512166118890047,0.512166118890047,1.957500166038006,-0.15932183243342868,-18.075952204466176,0.2800638908149697,-1.0613914924201084,-146.724785109976,1.6774362752230363,0.9020696599866798,128.64883290550983,0.6784596215136528,-1.133921314786619,-148.331511262971,1.2790405445243533,0.9745994823531903,130.25555905850482
C final-approach,950,1200,5.0,8,0.16,0.5,249,0.02,0.02,0.27717719218693676,0.06457789989421144,0.13068137010425562,0.22826331843301886,1.5201892303636924,-0.2054869467475453,3.4278747227171156,1.216953527249845,0.7059979318281417,37.43745483980469,0.3032357031138473,-0.911484878575687,-34.009580117087566,0.7635646153478242,0.43682611568801427,12.48148064564872,0.7566246150158682,-0.6423130624355595,-9.053605922931604
