command_idx,sample_idx,time_s,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,err_vx,err_vy,err_wz,start_x,start_y,start_yaw,end_x,end_y,end_yaw,reset,reset_reason
0,0,0.5,1.0,0.1,0.33,0.30720966481589884,-0.03829865962281223,-0.008411581628024578,-0.6927903351841012,-0.13829865962281224,-0.3384115816280246,0.0010071510914713144,-0.00011416047345846891,0.0015373311471194029,0.15464124083518982,-0.01902732625603676,-0.002668459666892886,False,
0,1,1.0,1.0,0.1,0.33,0.7758171273003586,0.14750788082514354,0.12206887593492866,-0.22418287269964143,0.04750788082514354,-0.20793112406507136,0.15464124083518982,-0.01902732625603676,-0.002668459666892886,0.5427452325820923,0.053691234439611435,0.05836597830057144,False,
0,2,1.5,1.0,0.1,0.33,0.916110248995055,-0.02402491617618838,0.1105470359325409,-0.083889751004945,-0.12402491617618838,-0.21945296406745912,0.5427452325820923,0.053691234439611435,0.05836597830057144,1.0007210969924927,0.06841889023780823,0.11363949626684189,False,
0,3,2.0,1.0,0.1,0.33,0.9292821542443606,0.09123094805766646,0.015542209148406982,-0.07071784575563944,-0.008769051942333544,-0.31445779085159303,1.0007210969924927,0.06841889023780823,0.11363949626684189,1.4571926593780518,0.16642814874649048,0.12141060084104538,False,
0,4,2.5,1.0,0.1,0.33,0.8950576014507622,0.14333675047640526,0.16500474512577057,-0.10494239854923781,0.043336750476405256,-0.16499525487422945,1.4571926593780518,0.16642814874649048,0.12141060084104538,1.892747163772583,0.2917703092098236,0.20391297340393066,False,
0,5,3.0,1.0,0.1,0.33,0.980860100404782,0.07117819547258902,0.12372922897338867,-0.019139899595218002,-0.028821804527410982,-0.20627077102661134,1.892747163772583,0.2917703092098236,0.20391297340393066,2.365809440612793,0.4259355068206787,0.265777587890625,False,
0,6,3.5,1.0,0.1,0.33,0.9643234539889294,0.12642724129219413,0.19235247373580933,-0.03567654601107062,0.02642724129219412,-0.1376475262641907,2.365809440612793,0.4259355068206787,0.265777587890625,2.8144381046295166,0.6135740280151367,0.36195382475852966,False,
0,7,4.0,1.0,0.1,0.33,0.903998744301121,0.007724508351570181,0.09634518623352051,-0.09600125569887896,-0.09227549164842982,-0.2336548137664795,2.8144381046295166,0.6135740280151367,0.36195382475852966,3.235783338546753,0.777239978313446,0.4101264178752899,False,
0,8,4.5,1.0,0.1,0.33,0.9751305055406712,0.09118788116836929,0.11355209350585938,-0.024869494459328845,-0.008812118831630716,-0.21644790649414064,3.235783338546753,0.777239978313446,0.4101264178752899,3.6647355556488037,1.0134574174880981,0.4669024646282196,False,
0,9,5.0,1.0,0.1,0.33,0.9003989153964541,0.15496648485848719,0.20479637384414673,-0.09960108460354589,0.05496648485848718,-0.1252036261558533,3.6647355556488037,1.0134574174880981,0.4669024646282196,4.031871795654297,1.2852922677993774,0.569300651550293,False,
