step,x,y,z,roll,pitch,yaw,vx_cmd,vy_cmd,wz_cmd,ctrl_abs_max,height_min,height_max,height_mean,height_std,height_obstacle_pixels,height_fdm_hit_count,height_fdm_geom_count,height_fdm_x_min,height_fdm_x_max,height_fdm_y_min,height_fdm_y_max,height_top_geoms,fdm_replan,fdm_progress_guard,fdm_best_cost,fdm_mppi_best_value,fdm_mppi_mean_value,fdm_pred_x,fdm_pred_y,fdm_pred_yaw,fdm_best_risk_max,fdm_best_risk_mean,fdm_collision_threshold,fdm_best_energy,fdm_front_clearance,fdm_front_vx_limit,fdm_cost_terminal,fdm_cost_position_offset,fdm_cost_rot_error,fdm_cost_heading_to_goal_error,fdm_cost_collision,fdm_cost_collision_mean,fdm_cost_collision_max,fdm_cost_high_risk,fdm_cost_energy,fdm_cost_velocity_tracking,fdm_cost_smooth,fdm_cost_yaw_rate_change,fdm_cost_tracking_prior,fdm_cost_command_progress,fdm_cost_terminal_progress,fdm_cost_lateral_command,fdm_cost_heading_running,fdm_cost_scan_obstacle,fdm_cost_obstacle_speed,fdm_cost_goal_distance
0,-1.090940713766031e-05,-5.554943882657426e-08,0.7910705208778381,-1.4534450087921869e-07,-0.00039776647463440895,2.8084647851756017e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,nan,nan,nan,nan,,1.0,0.0,0.055000003427267075,-24.20128059387207,-42.75236511230469,5.0,0.0,0.0,0.0,0.0,0.5,0.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1,-0.00014948641182854772,-2.919187807037815e-07,0.7907513380050659,-1.014423901324335e-06,-0.004744847305119038,2.153189370801556e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,nan,nan,nan,nan,,0.0,0.0,0.055000003427267075,-24.20128059387207,-42.75236511230469,5.0,0.0,0.0,0.0,0.0,0.5,0.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2,-0.0004223076975904405,-2.9432302994791826e-07,0.7909656167030334,-1.710204969640472e-06,-0.011953410692512989,3.676015012388234e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,nan,nan,nan,nan,,0.0,0.0,0.055000003427267075,-24.20128059387207,-42.75236511230469,5.0,0.0,0.0,0.0,0.0,0.5,0.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
